GeneID	GSM8122035	GSM8122036	GSM8122037	GSM8122038	GSM8122039	GSM8122040	GSM8122042	GSM8122043	GSM8122044	GSM8122045	GSM8122046	GSM8122047	GSM8122048	GSM8122049	GSM8122050
4171	0.07422	0.2155	0.1035	2.204	0.2811	1.064	3.975	0.1779	0.8258	0.3347	0.7461	0.3309	0.8274	0.5635	0.6744
107986126	0.108	0.2509	0.06026	0.9914	0.1227	0.3261	1.501	0.1294	0.4326	0.1873	0.3619	0.1983	0.5632	0.164	0.2598
50512	0.02417	0.2457	0.03372	0.06526	0.6866	0.4561	0.7784	0.1448	0.269	0.4612	0.3544	0.4754	0.3695	0.2141	0.3553
80325	3.098	6.454	3.584	2.431	6.32	4.372	9.369	5.458	6.222	4.565	7.385	3.402	2.344	2.709	3.012
11343	14.77	18.16	33.91	25.44	49.68	54.17	38.95	38.79	25.15	55.4	64.64	51.86	20.33	51.52	51.6
107986127	0.6456	0.4622	1.098	0.1791	0.2512	0.3337	0.1948	1.766	0.09841	0.1841	0.6297	4.87	0.1034	0.2238	0.5791
107986129	0	0	0	0	0	0.03443	0	0	0	0.03165	0	0.02393	0	0.02309	0
105374096	0	0	0	0	0.04845	0	0	0	0	0	0	0.06709	0	0	0.03419
166348	0.07967	0.008262	0	0	0.01078	0.01074	0.01929	0	0	0.01974	0.01192	0.02239	0	0.007201	0
102723759	0.01545	0	0.1077	0	0.0585	0	0	0.1851	0	0.1071	0.03235	0.02025	0	0.07818	0.2064
29927	182.3	133.1	131.9	128.8	69.51	197.1	93.82	311.4	198.8	174.9	227.5	277.3	164.6	155.8	221.1
8607	3.843	4.642	7.778	12.78	8.65	21.55	11.8	29.6	26.85	18.03	22.1	22.37	15.82	20.95	26.44
100874089	0	0	0	0	0	0.3374	0.1515	0	0	0	0	0	0	0	0.1195
60678	2.51	3.324	3.122	3.423	5.047	6.786	5.152	5.917	7.111	5.699	6.936	9.313	4.711	4.731	5.186
165721	0	0	0	0.03889	0	0	0	0	0	0	0	0	0	0.01823	0
285224	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0
2624	0.3618	0.6061	0.4077	0.263	1.239	0.3939	0.6132	1.223	0.8981	0.7965	1.049	0.5292	0.2377	0.2994	0.4277
101927167	0.0223	0.3561	0.3732	0.1505	0.2533	0.2945	0.07557	1.113	0.2977	0.232	0.7939	0.6432	0.3608	0.02821	0.6257
90246	0.03809	0.2212	0.1859	0.05141	0.2524	0.2156	0.1614	0.3423	0.08476	0.2312	0.3988	0.1498	0.1712	0.241	0.2799
23434	0	0	0	0.02631	0	0.07357	0	0	0	0	0	0.05112	0	0	0
6184	126.2	184.5	152.8	151.4	116.8	315.4	145.5	364.5	268.1	256.7	307.6	204.7	230.7	270.4	261.7
7879	36.14	69.8	87.4	68.34	91.73	105.1	120.7	140.6	118.1	108.1	141.2	171.6	92.44	117.2	120.3
113219457	0	0	0	0	0	0	0	1.04	0	0	0	0	0	0	0
653712	2.381	1.383	2.192	0.3214	2.164	0.8087	0.9685	1.807	1.484	1.404	1.496	1.062	0.2141	0.7834	1.209
28976	5.186	7.073	7.388	9.889	15.13	14.66	18.95	13.64	19.55	19.27	17.2	15.75	11.7	16.25	16.37
57501	0.4268	0.6232	0.4368	0.4397	0.6264	0.6099	0.8901	0.6153	0.9272	0.7182	0.788	1.043	0.6175	0.6678	0.7019
79825	0.1241	0.2343	0.2424	0.4189	0.6583	0.5388	0.1894	0.3719	0.4973	0.6675	0.624	0.09767	0.1674	0.3142	0.2157
2815	0	0.05996	0.3457	0.05575	0	0.07793	0.14	0	0	0.07163	0	0	0.1857	0	0.1656
100534599	3.921	6.115	8.813	7.03	12.57	15.5	8.316	20.45	15.84	14.97	16.51	19.19	8.804	8.31	12.19
339122	3.719	5.922	8.292	7.341	12.68	15.92	7.979	20.65	14.98	14.99	16.28	18.2	8.021	7.749	11.89
57461	3.788	3.196	4.247	3.3	3.709	3.641	3.682	5.253	6.394	5.281	4.79	8.322	6.284	3.961	4.241
7555	57.98	97.58	153.8	109.6	163.6	131.4	125.8	145.1	124.7	110.8	134.3	155	146.4	178.7	114.3
105374101	0	0	0.3339	1.185	0.6043	0.7527	0.8112	0.3187	0.1775	0.5535	0.1671	0	0	0.5048	0.4265
